value_en	description_en	codesystem	code	description_code
SureSelectXT HumanAllExon V4+UTRs, 480 by Agilent Technologies	SureSelectXT HumanAllExon V4+UTRs, 480 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT227	SureSelectXT HumanAllExon V4+UTRs, 480 by Agilent Technologies
SSEL XT Focused Exome Plus 2, 16rxn by Agilent Technologies	SSEL XT Focused Exome Plus 2, 16rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT524	SSEL XT Focused Exome Plus 2, 16rxn by Agilent Technologies
ClearSeq Inherited Disease Plus, 16, XT by Agilent Technologies	ClearSeq Inherited Disease Plus, 16, XT by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT611	ClearSeq Inherited Disease Plus, 16, XT by Agilent Technologies
KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT52	KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche
SureSelectXT Custom 12-24Mb, 16, RO by Agilent Technologies	SureSelectXT Custom 12-24Mb, 16, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT292	SureSelectXT Custom 12-24Mb, 16, RO by Agilent Technologies
SureSelectQXT Library Prep Kit NSQ, 16 by Agilent Technologies	SureSelectQXT Library Prep Kit NSQ, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT268	SureSelectQXT Library Prep Kit NSQ, 16 by Agilent Technologies
OneSeq 1Mb BB+Human All Exon V7,96Rxn by Agilent Technologies	OneSeq 1Mb BB+Human All Exon V7,96Rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT535	OneSeq 1Mb BB+Human All Exon V7,96Rxn by Agilent Technologies
SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT114	SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies
SureSelectXT Custom 12-24Mb, 96 by Agilent Technologies	SureSelectXT Custom 12-24Mb, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT236	SureSelectXT Custom 12-24Mb, 96 by Agilent Technologies
HaloPlexHS 1-500kb, ILMFST, 48 by Agilent Technologies	HaloPlexHS 1-500kb, ILMFST, 48 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT585	HaloPlexHS 1-500kb, ILMFST, 48 by Agilent Technologies
KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT47	KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche
SSEL XT2 CRE V2 Plus 2, 96 rxn by Agilent Technologies	SSEL XT2 CRE V2 Plus 2, 96 rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT487	SSEL XT2 CRE V2 Plus 2, 96 rxn by Agilent Technologies
EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT20	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek
Adapter Kit, barcodes 9 - 16 by Roche	Adapter Kit, barcodes 9 - 16 by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT63	Adapter Kit, barcodes 9 - 16 by Roche
KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche	KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT43	KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche
SSel XT HS 17-32 + CREv2+, 16rxn by Agilent Technologies	SSel XT HS 17-32 + CREv2+, 16rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT368	SSel XT HS 17-32 + CREv2+, 16rxn by Agilent Technologies
SureSelect XT Human All Exon V4, 480 sam by Agilent Technologies	SureSelect XT Human All Exon V4, 480 sam by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT263	SureSelect XT Human All Exon V4, 480 sam by Agilent Technologies
