value_en	description_en	codesystem	code	description_code
condyle	condyle	UBERON	0009979	condyle
basibranchial 2 element	basibranchial 2 element	UBERON	2001916	basibranchial 2 element
apex of thoracic spinal cord dorsal horn	apex of thoracic spinal cord dorsal horn	UBERON	0014611	apex of thoracic spinal cord dorsal horn
median premaxilla	median premaxilla	UBERON	2001692	median premaxilla
fusiform nucleus of stria terminalis	fusiform nucleus of stria terminalis	UBERON	0011175	fusiform nucleus of stria terminalis
cervical vertebra 1 arcus anterior	cervical vertebra 1 arcus anterior	UBERON	0003996	cervical vertebra 1 arcus anterior
oral opening	oral opening	UBERON	0000166	oral opening
middle nasal concha	middle nasal concha	UBERON	0005921	middle nasal concha
spiracular notch	spiracular notch	UBERON	4100115	spiracular notch
paraventricular nucleus of the hypothalamus parvicellular division	paraventricular nucleus of the hypothalamus parvicellular division	UBERON	0014604	paraventricular nucleus of the hypothalamus parvicellular division
eye trabecular meshwork	eye trabecular meshwork	UBERON	0005969	eye trabecular meshwork
cerebellum vermis lobule II	cerebellum vermis lobule II	UBERON	0004075	cerebellum vermis lobule II
lateral plate mesoderm	lateral plate mesoderm	UBERON	0003081	lateral plate mesoderm
vein of vestibular aqueduct	vein of vestibular aqueduct	UBERON	0036074	vein of vestibular aqueduct
mesenchyme of sublingual gland	mesenchyme of sublingual gland	UBERON	0003420	mesenchyme of sublingual gland
spleen germinal center	spleen germinal center	UBERON	0005196	spleen germinal center
aponeurosis palmaris	aponeurosis palmaris	UBERON	4200041	aponeurosis palmaris
mesonephric duct	mesonephric duct	UBERON	0003074	mesonephric duct
alisphenoid pre-cartilage condensation	alisphenoid pre-cartilage condensation	UBERON	0010732	alisphenoid pre-cartilage condensation
descending trunk of arch of aorta	descending trunk of arch of aorta	UBERON	0016920	descending trunk of arch of aorta
cloacal epithelium	cloacal epithelium	UBERON	0012481	cloacal epithelium
retrotrapezoid nucleus	retrotrapezoid nucleus	UBERON	0009918	retrotrapezoid nucleus
presumptive intervening zone	presumptive intervening zone	UBERON	2001342	presumptive intervening zone
pelvic fin lepidotrichium	pelvic fin lepidotrichium	UBERON	4000173	pelvic fin lepidotrichium
cervical sinus of His	cervical sinus of His	UBERON	0006216	cervical sinus of His
oblique cartilage	oblique cartilage	UBERON	3000329	oblique cartilage
typhlosole	typhlosole	UBERON	0009099	typhlosole
uncrossed tecto-bulbar tract	uncrossed tecto-bulbar tract	UBERON	2000296	uncrossed tecto-bulbar tract
hematopoietic tissue	hematopoietic tissue	UBERON	0012429	hematopoietic tissue
hindbrain vesicle	hindbrain vesicle	UBERON	0013149	hindbrain vesicle
dorsal fin middle radial cartilage	dorsal fin middle radial cartilage	UBERON	2201613	dorsal fin middle radial cartilage
pleural sac	pleural sac	UBERON	0009778	pleural sac
trunk and cervical myotome group	trunk and cervical myotome group	UBERON	0010963	trunk and cervical myotome group
abductor hyohyoid	abductor hyohyoid	UBERON	2000462	abductor hyohyoid
visceral hump	visceral hump	UBERON	0008937	visceral hump
cud	cud	UBERON	0012114	cud
subdivision of digestive tract	subdivision of digestive tract	UBERON	0004921	subdivision of digestive tract
tonsillar pillar	tonsillar pillar	UBERON	0036274	tonsillar pillar
intrapulmonary bronchus	intrapulmonary bronchus	UBERON	0035767	intrapulmonary bronchus
caput epididymis	caput epididymis	UBERON	0004358	caput epididymis
bulbus cordis	bulbus cordis	UBERON	0004706	bulbus cordis
limiting layer of elasmoid scale	limiting layer of elasmoid scale	UBERON	4000105	limiting layer of elasmoid scale
cortical subplate	cortical subplate	UBERON	0004035	cortical subplate
foramen perilymphaticum	foramen perilymphaticum	UBERON	3000192	foramen perilymphaticum
primary motor cortex	primary motor cortex	UBERON	0001384	primary motor cortex
M. extensor cruris brevis	M. extensor cruris brevis	UBERON	3010089	M. extensor cruris brevis
glossopharyngeal nerve foramen	glossopharyngeal nerve foramen	UBERON	4300132	glossopharyngeal nerve foramen
vertebral artery	vertebral artery	UBERON	0001535	vertebral artery
elastic tissue	elastic tissue	UBERON	0002521	elastic tissue
avascular GAG-rich matrix	avascular GAG-rich matrix	UBERON	4000059	avascular GAG-rich matrix
myometrium	myometrium	UBERON	0001296	myometrium
non-keratinized stratified squamous epithelium	non-keratinized stratified squamous epithelium	UBERON	0010304	non-keratinized stratified squamous epithelium
epidermal placode	epidermal placode	UBERON	2002195	epidermal placode
arcuate ligament	arcuate ligament	UBERON	0015214	arcuate ligament
submucosa of common bile duct	submucosa of common bile duct	UBERON	0004939	submucosa of common bile duct
transversal dorsal folds	transversal dorsal folds	UBERON	3000995	transversal dorsal folds
proximal phalanx of manual digit 1	proximal phalanx of manual digit 1	UBERON	0004338	proximal phalanx of manual digit 1
craniocervical muscle	craniocervical muscle	UBERON	0010959	craniocervical muscle
infraspinatus tendon	infraspinatus tendon	UBERON	0012118	infraspinatus tendon
median lobe of prostate	median lobe of prostate	UBERON	0035766	median lobe of prostate
notochord	notochord	UBERON	0002328	notochord
distal metaphysis of femur	distal metaphysis of femur	UBERON	0006864	distal metaphysis of femur
cervical flexure	cervical flexure	UBERON	0005819	cervical flexure
middle lobe of right lung	middle lobe of right lung	UBERON	0002174	middle lobe of right lung
immature posterior otolith	immature posterior otolith	UBERON	2001103	immature posterior otolith
synchondrosis	synchondrosis	UBERON	0002215	synchondrosis
bony part of cervical vertebral arch	bony part of cervical vertebral arch	UBERON	0017670	bony part of cervical vertebral arch
cranial or facial muscle	cranial or facial muscle	UBERON	0015789	cranial or facial muscle
interchondral joint	interchondral joint	UBERON	0002002	interchondral joint
proximal phalanx of manual digit 4	proximal phalanx of manual digit 4	UBERON	0004330	proximal phalanx of manual digit 4
proximal phalanx of manual digit 5	proximal phalanx of manual digit 5	UBERON	0004331	proximal phalanx of manual digit 5
rostral migratory stream	rostral migratory stream	UBERON	0008881	rostral migratory stream
proximal phalanx of manual digit 2	proximal phalanx of manual digit 2	UBERON	0004328	proximal phalanx of manual digit 2
epigastric artery	epigastric artery	UBERON	0006349	epigastric artery
proximal phalanx of manual digit 3	proximal phalanx of manual digit 3	UBERON	0004329	proximal phalanx of manual digit 3
glandular system	glandular system	UBERON	0015204	glandular system
primary ovarian follicle	primary ovarian follicle	UBERON	0000035	primary ovarian follicle
diaphragm	diaphragm	UBERON	0001103	diaphragm
ora serrata of retina	ora serrata of retina	UBERON	0011221	ora serrata of retina
collagenous dermal stroma	collagenous dermal stroma	UBERON	2001186	collagenous dermal stroma
periderm	periderm	UBERON	0003055	periderm
cerebellum interpositus nucleus	cerebellum interpositus nucleus	UBERON	0004073	cerebellum interpositus nucleus
sublaminar layers S3 or S4	sublaminar layers S3 or S4	UBERON	0009731	sublaminar layers S3 or S4
epithelium of otic placode	epithelium of otic placode	UBERON	0003249	epithelium of otic placode
lower secondary molar tooth	lower secondary molar tooth	UBERON	0013621	lower secondary molar tooth
tooth 2MD	tooth 2MD	UBERON	2001147	tooth 2MD
knee joint primordium	knee joint primordium	UBERON	0006256	knee joint primordium
tongue squamous epithelium	tongue squamous epithelium	UBERON	0006919	tongue squamous epithelium
hippocampus stratum lucidum	hippocampus stratum lucidum	UBERON	0007637	hippocampus stratum lucidum
sural artery	sural artery	UBERON	0001390	sural artery
hair follicle placode	hair follicle placode	UBERON	0005086	hair follicle placode
anatomical row	anatomical row	UBERON	0034926	anatomical row
aqueous drainage system	aqueous drainage system	UBERON	0003956	aqueous drainage system
white matter of cerebral lobe	white matter of cerebral lobe	UBERON	0016527	white matter of cerebral lobe
gastric vein	gastric vein	UBERON	0004450	gastric vein
urogenital fold	urogenital fold	UBERON	0004876	urogenital fold
metanephric early distal convoluted tubule	metanephric early distal convoluted tubule	UBERON	0005118	metanephric early distal convoluted tubule
dorsal nucleus of trapezoid body	dorsal nucleus of trapezoid body	UBERON	0009053	dorsal nucleus of trapezoid body
epithelial tube open at both ends	epithelial tube open at both ends	UBERON	0007500	epithelial tube open at both ends
sympathetic nerve	sympathetic nerve	UBERON	0034729	sympathetic nerve
capsule of temporomandibular joint	capsule of temporomandibular joint	UBERON	0011318	capsule of temporomandibular joint
insect thorax	insect thorax	UBERON	6000015	insect thorax
tentorial sinus	tentorial sinus	UBERON	0005481	tentorial sinus
left frontal lobe	left frontal lobe	UBERON	0002811	left frontal lobe
ventromedial thalamic nucleus	ventromedial thalamic nucleus	UBERON	2000459	ventromedial thalamic nucleus
median tuberal portion	median tuberal portion	UBERON	2000392	median tuberal portion
fifth lumbar spinal cord segment	fifth lumbar spinal cord segment	UBERON	0006447	fifth lumbar spinal cord segment
caput glenoidale	caput glenoidale	UBERON	3000801	caput glenoidale
molar enamel organ	molar enamel organ	UBERON	0015843	molar enamel organ
appendicular skeleton	appendicular skeleton	UBERON	0002091	appendicular skeleton
coelomic epithelium	coelomic epithelium	UBERON	0005891	coelomic epithelium
female inguinal ring	female inguinal ring	UBERON	0018529	female inguinal ring
A16 dopaminergic cell group	A16 dopaminergic cell group	UBERON	0036008	A16 dopaminergic cell group
post-embryonic organism	post-embryonic organism	UBERON	0009953	post-embryonic organism
palatine bone horizontal plate	palatine bone horizontal plate	UBERON	0018242	palatine bone horizontal plate
gland	gland	UBERON	0002530	gland
middle part of esophagus	middle part of esophagus	UBERON	0013474	middle part of esophagus
submucosa of transverse colon	submucosa of transverse colon	UBERON	0004930	submucosa of transverse colon
retromandibular vein	retromandibular vein	UBERON	0001656	retromandibular vein
posterior parietal artery	posterior parietal artery	UBERON	0035222	posterior parietal artery
postaxial centrale	postaxial centrale	UBERON	4200083	postaxial centrale
pectoralis minor	pectoralis minor	UBERON	0001100	pectoralis minor
holocrine gland	holocrine gland	UBERON	0012344	holocrine gland
fibrous pericardium	fibrous pericardium	UBERON	0002359	fibrous pericardium
hyale	hyale	UBERON	3000101	hyale
M. ileo-fibularis	M. ileo-fibularis	UBERON	3010070	M. ileo-fibularis
mucosa of infundibulum of uterine tube	mucosa of infundibulum of uterine tube	UBERON	0005049	mucosa of infundibulum of uterine tube
cardiac muscle tissue of interventricular septum	cardiac muscle tissue of interventricular septum	UBERON	0003383	cardiac muscle tissue of interventricular septum
