value_en	description_en	codesystem	code	description_code
Ecuadorian	Ecuadorian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0407	Ecuadorian
Salvadoran	Salvadoran	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0408	Salvadoran
French Guianese	French Guianese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0409	French Guianese
Grenadian	Grenadian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0410	Grenadian
Guatemalan	Guatemalan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0411	Guatemalan
Guyanese	Guyanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0412	Guyanese
Honduran	Honduran	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0413	Honduran
Martinican	Martinican	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0414	Martinican
Mexican	Mexican	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0415	Mexican
Montserratian	Montserratian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0416	Montserratian
Nicaraguan	Nicaraguan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0417	Nicaraguan
Panamanian	Panamanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0418	Panamanian
Paraguayan	Paraguayan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0419	Paraguayan
Peruvian	Peruvian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0420	Peruvian
Puerto Rican	Puerto Rican	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0421	Puerto Rican
Kittitian or Nevisian	Kittitian or Nevisian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0422	Kittitian or Nevisian
Saint Lucian	Saint Lucian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0423	Saint Lucian
Saint Vincentian	Saint Vincentian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0424	Saint Vincentian
Surinamese	Surinamese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0425	Surinamese
Trinidadian or Tobagonian	Trinidadian or Tobagonian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0426	Trinidadian or Tobagonian
Turks and Caicos Islander	Turks and Caicos Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0427	Turks and Caicos Islander
Virgin Islander	Virgin Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0428	Virgin Islander
Uruguayan	Uruguayan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0429	Uruguayan
Venezuelan	Venezuelan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0430	Venezuelan
Algerian	Algerian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0431	Algerian
Armenian	Armenian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0432	Armenian
Azerbaijani	Azerbaijani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0433	Azerbaijani
Bahraini	Bahraini	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0434	Bahraini
Cypriote	Cypriote	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0435	Cypriote
Egyptian	Egyptian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0436	Egyptian
Georgian	Georgian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0437	Georgian
Iranian	Iranian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0438	Iranian
Iraqi	Iraqi	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0439	Iraqi
Israeli	Israeli	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0440	Israeli
Jordanian	Jordanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0441	Jordanian
Kuwaiti	Kuwaiti	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0442	Kuwaiti
Lebanese	Lebanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0443	Lebanese
Libyan	Libyan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0444	Libyan
Moroccan	Moroccan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0445	Moroccan
Palestinian	Palestinian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0446	Palestinian
Omani	Omani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0447	Omani
Qatari	Qatari	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0448	Qatari
Saudi	Saudi	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0449	Saudi
Tunisian	Tunisian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0450	Tunisian
Turkish	Turkish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0451	Turkish
Emirati	Emirati	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0452	Emirati
Yemeni	Yemeni	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0453	Yemeni
Aruban	Aruban	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0454	Aruban
Christmas Islander	Christmas Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0455	Christmas Islander
Cocos Islander	Cocos Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0456	Cocos Islander
Curacaoan	Curacaoan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0457	Curacaoan
Kosovar	Kosovar	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0458	Kosovar
Northern Mariana Islander	Northern Mariana Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0459	Northern Mariana Islander
South Sudanese	South Sudanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0460	South Sudanese
Syrian	Syrian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0461	Syrian
