value_en	description_en	codesystem	code	description_code
organogenesis stage	organogenesis stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000111	organogenesis stage
sexually immature stage	sexually immature stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000112	sexually immature stage
post-juvenile adult stage	post-juvenile adult stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000113	post-juvenile adult stage
lung connective tissue	lung connective tissue	UBERON	http://purl.obolibrary.org/obo/UBERON_0000114	lung connective tissue
lung epithelium	lung epithelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000115	lung epithelium
lung saccule	lung saccule	UBERON	http://purl.obolibrary.org/obo/UBERON_0000116	lung saccule
respiratory tube	respiratory tube	UBERON	http://purl.obolibrary.org/obo/UBERON_0000117	respiratory tube
lung bud	lung bud	UBERON	http://purl.obolibrary.org/obo/UBERON_0000118	lung bud
cell layer	cell layer	UBERON	http://purl.obolibrary.org/obo/UBERON_0000119	cell layer
blood brain barrier	blood brain barrier	UBERON	http://purl.obolibrary.org/obo/UBERON_0000120	blood brain barrier
perineurium	perineurium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000121	perineurium
neuron projection bundle	neuron projection bundle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000122	neuron projection bundle
endoneurium	endoneurium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000123	endoneurium
epineurium	epineurium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000124	epineurium
neural nucleus	neural nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000125	neural nucleus
cranial nerve nucleus	cranial nerve nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000126	cranial nerve nucleus
facial nucleus	facial nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000127	facial nucleus
olivary body	olivary body	UBERON	http://purl.obolibrary.org/obo/UBERON_0000128	olivary body
transverse foramen	transverse foramen	UBERON	http://purl.obolibrary.org/obo/UBERON_0000130	transverse foramen
trochlea of humerus	trochlea of humerus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000144	trochlea of humerus
pectoral fin	pectoral fin	UBERON	http://purl.obolibrary.org/obo/UBERON_0000151	pectoral fin
pelvic fin	pelvic fin	UBERON	http://purl.obolibrary.org/obo/UBERON_0000152	pelvic fin
anterior region of body	anterior region of body	UBERON	http://purl.obolibrary.org/obo/UBERON_0000153	anterior region of body
posterior region of body	posterior region of body	UBERON	http://purl.obolibrary.org/obo/UBERON_0000154	posterior region of body
theca cell layer	theca cell layer	UBERON	http://purl.obolibrary.org/obo/UBERON_0000155	theca cell layer
theca externa	theca externa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000156	theca externa
theca interna	theca interna	UBERON	http://purl.obolibrary.org/obo/UBERON_0000157	theca interna
membranous layer	membranous layer	UBERON	http://purl.obolibrary.org/obo/UBERON_0000158	membranous layer
anal canal	anal canal	UBERON	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
intestine	intestine	UBERON	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
orifice	orifice	UBERON	http://purl.obolibrary.org/obo/UBERON_0000161	orifice
cloaca	cloaca	UBERON	http://purl.obolibrary.org/obo/UBERON_0000162	cloaca
embryonic cloaca	embryonic cloaca	UBERON	http://purl.obolibrary.org/obo/UBERON_0000163	embryonic cloaca
primitive urogenital sinus	primitive urogenital sinus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000164	primitive urogenital sinus
mouth	mouth	UBERON	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
oral opening	oral opening	UBERON	http://purl.obolibrary.org/obo/UBERON_0000166	oral opening
oral cavity	oral cavity	UBERON	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity
proximal-distal subdivision of colon	proximal-distal subdivision of colon	UBERON	http://purl.obolibrary.org/obo/UBERON_0000168	proximal-distal subdivision of colon
pair of lungs	pair of lungs	UBERON	http://purl.obolibrary.org/obo/UBERON_0000170	pair of lungs
respiration organ	respiration organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000171	respiration organ
vomit	vomit	UBERON	http://purl.obolibrary.org/obo/UBERON_0000172	vomit
amniotic fluid	amniotic fluid	UBERON	http://purl.obolibrary.org/obo/UBERON_0000173	amniotic fluid
excreta	excreta	UBERON	http://purl.obolibrary.org/obo/UBERON_0000174	excreta
pleural effusion	pleural effusion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000175	pleural effusion
oronasal secretion	oronasal secretion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000176	oronasal secretion
pus	pus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000177	pus
blood	blood	UBERON	http://purl.obolibrary.org/obo/UBERON_0000178	blood
haemolymphatic fluid	haemolymphatic fluid	UBERON	http://purl.obolibrary.org/obo/UBERON_0000179	haemolymphatic fluid
lateral lumbar region of abdomen	lateral lumbar region of abdomen	UBERON	http://purl.obolibrary.org/obo/UBERON_0000180	lateral lumbar region of abdomen
neck of radius	neck of radius	UBERON	http://purl.obolibrary.org/obo/UBERON_0000199	neck of radius
gyrus	gyrus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000200	gyrus
endothelial blood brain barrier	endothelial blood brain barrier	UBERON	http://purl.obolibrary.org/obo/UBERON_0000201	endothelial blood brain barrier
glial blood brain barrier	glial blood brain barrier	UBERON	http://purl.obolibrary.org/obo/UBERON_0000202	glial blood brain barrier
pallium	pallium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000203	pallium
ventral part of telencephalon	ventral part of telencephalon	UBERON	http://purl.obolibrary.org/obo/UBERON_0000204	ventral part of telencephalon
papula	papula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000205	papula
pharyngeal gill	pharyngeal gill	UBERON	http://purl.obolibrary.org/obo/UBERON_0000206	pharyngeal gill
compound eye corneal lens	compound eye corneal lens	UBERON	http://purl.obolibrary.org/obo/UBERON_0000207	compound eye corneal lens
tetrapod frontal bone	tetrapod frontal bone	UBERON	http://purl.obolibrary.org/obo/UBERON_0000209	tetrapod frontal bone
tetrapod parietal bone	tetrapod parietal bone	UBERON	http://purl.obolibrary.org/obo/UBERON_0000210	tetrapod parietal bone
ligament	ligament	UBERON	http://purl.obolibrary.org/obo/UBERON_0000211	ligament
toilet claw	toilet claw	UBERON	http://purl.obolibrary.org/obo/UBERON_0000212	toilet claw
vertebral arch of axis	vertebral arch of axis	UBERON	http://purl.obolibrary.org/obo/UBERON_0000218	vertebral arch of axis
vertebral foramen of atlas	vertebral foramen of atlas	UBERON	http://purl.obolibrary.org/obo/UBERON_0000219	vertebral foramen of atlas
atlanto-occipital joint	atlanto-occipital joint	UBERON	http://purl.obolibrary.org/obo/UBERON_0000220	atlanto-occipital joint
supraauricular point	supraauricular point	UBERON	http://purl.obolibrary.org/obo/UBERON_0000221	supraauricular point
amniotic cavity	amniotic cavity	UBERON	http://purl.obolibrary.org/obo/UBERON_0000301	amniotic cavity
adductor longus	adductor longus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000303	adductor longus
tendon sheath	tendon sheath	UBERON	http://purl.obolibrary.org/obo/UBERON_0000304	tendon sheath
amnion	amnion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000305	amnion
blastula	blastula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000307	blastula
body wall	body wall	UBERON	http://purl.obolibrary.org/obo/UBERON_0000309	body wall
breast	breast	UBERON	http://purl.obolibrary.org/obo/UBERON_0000310	breast
extensor muscle	extensor muscle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000311	extensor muscle
inner cambium layer of periosteum	inner cambium layer of periosteum	UBERON	http://purl.obolibrary.org/obo/UBERON_0000312	inner cambium layer of periosteum
portion of cartilage tissue in tibia	portion of cartilage tissue in tibia	UBERON	http://purl.obolibrary.org/obo/UBERON_0000313	portion of cartilage tissue in tibia
cecum mucosa	cecum mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000314	cecum mucosa
subarachnoid space	subarachnoid space	UBERON	http://purl.obolibrary.org/obo/UBERON_0000315	subarachnoid space
cervical mucus	cervical mucus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000316	cervical mucus
colonic mucosa	colonic mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000317	colonic mucosa
cytotrophoblast	cytotrophoblast	UBERON	http://purl.obolibrary.org/obo/UBERON_0000319	cytotrophoblast
duodenal mucosa	duodenal mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000320	duodenal mucosa
late embryo	late embryo	UBERON	http://purl.obolibrary.org/obo/UBERON_0000323	late embryo
gastric gland	gastric gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000325	gastric gland
pancreatic juice	pancreatic juice	UBERON	http://purl.obolibrary.org/obo/UBERON_0000326	pancreatic juice
gut wall	gut wall	UBERON	http://purl.obolibrary.org/obo/UBERON_0000328	gut wall
hair root	hair root	UBERON	http://purl.obolibrary.org/obo/UBERON_0000329	hair root
ileal mucosa	ileal mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000331	ileal mucosa
yellow bone marrow	yellow bone marrow	UBERON	http://purl.obolibrary.org/obo/UBERON_0000332	yellow bone marrow
intestinal gland	intestinal gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000333	intestinal gland
throat	throat	UBERON	http://purl.obolibrary.org/obo/UBERON_0000341	throat
mucosa	mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000344	mucosa
myelin	myelin	UBERON	http://purl.obolibrary.org/obo/UBERON_0000345	myelin
entire myelin sheath	entire myelin sheath	UBERON	http://purl.obolibrary.org/obo/UBERON_0000347	entire myelin sheath
ophthalmic nerve	ophthalmic nerve	UBERON	http://purl.obolibrary.org/obo/UBERON_0000348	ophthalmic nerve
limbic system	limbic system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000349	limbic system
nuchal ligament	nuchal ligament	UBERON	http://purl.obolibrary.org/obo/UBERON_0000351	nuchal ligament
parenchyma	parenchyma	UBERON	http://purl.obolibrary.org/obo/UBERON_0000353	parenchyma
pharyngeal mucosa	pharyngeal mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000355	pharyngeal mucosa
blastocyst	blastocyst	UBERON	http://purl.obolibrary.org/obo/UBERON_0000358	blastocyst
preputial gland	preputial gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000359	preputial gland
red bone marrow	red bone marrow	UBERON	http://purl.obolibrary.org/obo/UBERON_0000361	red bone marrow
renal medulla	renal medulla	UBERON	http://purl.obolibrary.org/obo/UBERON_0000362	renal medulla
reticuloendothelial system	reticuloendothelial system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000363	reticuloendothelial system
urothelium	urothelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000365	urothelium
flexor muscle	flexor muscle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000366	flexor muscle
adductor brevis	adductor brevis	UBERON	http://purl.obolibrary.org/obo/UBERON_0000368	adductor brevis
corpus striatum	corpus striatum	UBERON	http://purl.obolibrary.org/obo/UBERON_0000369	corpus striatum
adductor magnus	adductor magnus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000370	adductor magnus
syncytiotrophoblast	syncytiotrophoblast	UBERON	http://purl.obolibrary.org/obo/UBERON_0000371	syncytiotrophoblast
extensor digitorum brevis pes	extensor digitorum brevis pes	UBERON	http://purl.obolibrary.org/obo/UBERON_0000372	extensor digitorum brevis pes
tapetum of corpus callosum	tapetum of corpus callosum	UBERON	http://purl.obolibrary.org/obo/UBERON_0000373	tapetum of corpus callosum
mandibular nerve	mandibular nerve	UBERON	http://purl.obolibrary.org/obo/UBERON_0000375	mandibular nerve
hindlimb stylopod	hindlimb stylopod	UBERON	http://purl.obolibrary.org/obo/UBERON_0000376	hindlimb stylopod
maxillary nerve	maxillary nerve	UBERON	http://purl.obolibrary.org/obo/UBERON_0000377	maxillary nerve
tongue muscle	tongue muscle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000378	tongue muscle
tracheal mucosa	tracheal mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000379	tracheal mucosa
