value	description	codesystem	code	iri
retrocerebral complex	retrocerebral complex	UBERON	0012325	http://purl.obolibrary.org/obo/UBERON_0012325
gubernacular bulb	gubernacular bulb	UBERON	0012326	http://purl.obolibrary.org/obo/UBERON_0012326
pearly penile papule	pearly penile papule	UBERON	0012327	http://purl.obolibrary.org/obo/UBERON_0012327
penile spine	penile spine	UBERON	0012328	http://purl.obolibrary.org/obo/UBERON_0012328
keratinized stratified squamous epithelium	keratinized stratified squamous epithelium	UBERON	0012329	http://purl.obolibrary.org/obo/UBERON_0012329
nasal-associated lymphoid tissue	nasal-associated lymphoid tissue	UBERON	0012330	http://purl.obolibrary.org/obo/UBERON_0012330
mesosalpinx	mesosalpinx	UBERON	0012331	http://purl.obolibrary.org/obo/UBERON_0012331
broad ligament of uterus	broad ligament of uterus	UBERON	0012332	http://purl.obolibrary.org/obo/UBERON_0012332
ovarian bursa	ovarian bursa	UBERON	0012333	http://purl.obolibrary.org/obo/UBERON_0012333
navicular bursa	navicular bursa	UBERON	0012334	http://purl.obolibrary.org/obo/UBERON_0012334
navicular bursa of manus	navicular bursa of manus	UBERON	0012335	http://purl.obolibrary.org/obo/UBERON_0012335
perianal skin	perianal skin	UBERON	0012336	http://purl.obolibrary.org/obo/UBERON_0012336
cauda equina	cauda equina	UBERON	0012337	http://purl.obolibrary.org/obo/UBERON_0012337
navicular bursa of pes	navicular bursa of pes	UBERON	0012343	http://purl.obolibrary.org/obo/UBERON_0012343
holocrine gland	holocrine gland	UBERON	0012344	http://purl.obolibrary.org/obo/UBERON_0012344
autopod pad	autopod pad	UBERON	0012348	http://purl.obolibrary.org/obo/UBERON_0012348
digital pad	digital pad	UBERON	0012349	http://purl.obolibrary.org/obo/UBERON_0012349
carpal pad	carpal pad	UBERON	0012350	http://purl.obolibrary.org/obo/UBERON_0012350
urachal lumen	urachal lumen	UBERON	0012351	http://purl.obolibrary.org/obo/UBERON_0012351
mesangial matrix	mesangial matrix	UBERON	0012352	http://purl.obolibrary.org/obo/UBERON_0012352
fin skeleton	fin skeleton	UBERON	0012353	http://purl.obolibrary.org/obo/UBERON_0012353
acropodium region	acropodium region	UBERON	0012354	http://purl.obolibrary.org/obo/UBERON_0012354
manual acropodium region	manual acropodium region	UBERON	0012355	http://purl.obolibrary.org/obo/UBERON_0012355
pedal acropodium region	pedal acropodium region	UBERON	0012356	http://purl.obolibrary.org/obo/UBERON_0012356
digitopodium bone	digitopodium bone	UBERON	0012357	http://purl.obolibrary.org/obo/UBERON_0012357
manual digitopodium bone	manual digitopodium bone	UBERON	0012358	http://purl.obolibrary.org/obo/UBERON_0012358
pedal digitopodium bone	pedal digitopodium bone	UBERON	0012359	http://purl.obolibrary.org/obo/UBERON_0012359
bone of jaw	bone of jaw	UBERON	0012360	http://purl.obolibrary.org/obo/UBERON_0012360
internal anal region	internal anal region	UBERON	0012361	http://purl.obolibrary.org/obo/UBERON_0012361
thyroid follicle epithelium	thyroid follicle epithelium	UBERON	0012363	http://purl.obolibrary.org/obo/UBERON_0012363
colloid of thyroid follicle	colloid of thyroid follicle	UBERON	0012364	http://purl.obolibrary.org/obo/UBERON_0012364
muscle layer of intestine	muscle layer of intestine	UBERON	0012367	http://purl.obolibrary.org/obo/UBERON_0012367
circular muscle layer of muscular coat	circular muscle layer of muscular coat	UBERON	0012368	http://purl.obolibrary.org/obo/UBERON_0012368
longitudinal muscle layer of muscular coat	longitudinal muscle layer of muscular coat	UBERON	0012369	http://purl.obolibrary.org/obo/UBERON_0012369
sympathetic nerve plexus	sympathetic nerve plexus	UBERON	0012373	http://purl.obolibrary.org/obo/UBERON_0012373
subserosal plexus	subserosal plexus	UBERON	0012374	http://purl.obolibrary.org/obo/UBERON_0012374
subserosa	subserosa	UBERON	0012375	http://purl.obolibrary.org/obo/UBERON_0012375
retromolar triangle	retromolar triangle	UBERON	0012376	http://purl.obolibrary.org/obo/UBERON_0012376
muscle layer of jejunum	muscle layer of jejunum	UBERON	0012377	http://purl.obolibrary.org/obo/UBERON_0012377
muscle layer of urinary bladder	muscle layer of urinary bladder	UBERON	0012378	http://purl.obolibrary.org/obo/UBERON_0012378
large intestine smooth muscle circular layer	large intestine smooth muscle circular layer	UBERON	0012398	http://purl.obolibrary.org/obo/UBERON_0012398
large intestine smooth muscle longitudinal layer	large intestine smooth muscle longitudinal layer	UBERON	0012399	http://purl.obolibrary.org/obo/UBERON_0012399
small intestine smooth muscle circular layer	small intestine smooth muscle circular layer	UBERON	0012401	http://purl.obolibrary.org/obo/UBERON_0012401
small intestine smooth muscle longitudinal layer	small intestine smooth muscle longitudinal layer	UBERON	0012402	http://purl.obolibrary.org/obo/UBERON_0012402
respiratory system arterial smooth muscle	respiratory system arterial smooth muscle	UBERON	0012416	http://purl.obolibrary.org/obo/UBERON_0012416
respiratory system venous smooth muscle	respiratory system venous smooth muscle	UBERON	0012418	http://purl.obolibrary.org/obo/UBERON_0012418
taenia coli	taenia coli	UBERON	0012419	http://purl.obolibrary.org/obo/UBERON_0012419
coprodeum	coprodeum	UBERON	0012420	http://purl.obolibrary.org/obo/UBERON_0012420
urodeum	urodeum	UBERON	0012421	http://purl.obolibrary.org/obo/UBERON_0012421
secretion of crop	secretion of crop	UBERON	0012422	http://purl.obolibrary.org/obo/UBERON_0012422
layer of microvilli	layer of microvilli	UBERON	0012423	http://purl.obolibrary.org/obo/UBERON_0012423
brush border layer	brush border layer	UBERON	0012424	http://purl.obolibrary.org/obo/UBERON_0012424
striated border microvillus layer	striated border microvillus layer	UBERON	0012425	http://purl.obolibrary.org/obo/UBERON_0012425
short microvillus layer	short microvillus layer	UBERON	0012426	http://purl.obolibrary.org/obo/UBERON_0012426
intestinal brush border layer	intestinal brush border layer	UBERON	0012427	http://purl.obolibrary.org/obo/UBERON_0012427
proximal convoluted tubule brush border	proximal convoluted tubule brush border	UBERON	0012428	http://purl.obolibrary.org/obo/UBERON_0012428
hematopoietic tissue	hematopoietic tissue	UBERON	0012429	http://purl.obolibrary.org/obo/UBERON_0012429
tunica fibrosa of eyeball	tunica fibrosa of eyeball	UBERON	0012430	http://purl.obolibrary.org/obo/UBERON_0012430
epithelial-mesenchymal boundary	epithelial-mesenchymal boundary	UBERON	0012437	http://purl.obolibrary.org/obo/UBERON_0012437
blastema of regenerating fin/limb	blastema of regenerating fin/limb	UBERON	0012438	http://purl.obolibrary.org/obo/UBERON_0012438
blastema of regenerating digit tip	blastema of regenerating digit tip	UBERON	0012439	http://purl.obolibrary.org/obo/UBERON_0012439
endothelium of peritubular capillary	endothelium of peritubular capillary	UBERON	0012441	http://purl.obolibrary.org/obo/UBERON_0012441
epiploic foramen	epiploic foramen	UBERON	0012442	http://purl.obolibrary.org/obo/UBERON_0012442
row of scales	row of scales	UBERON	0012443	http://purl.obolibrary.org/obo/UBERON_0012443
gastropege	gastropege	UBERON	0012444	http://purl.obolibrary.org/obo/UBERON_0012444
podotheca	podotheca	UBERON	0012447	http://purl.obolibrary.org/obo/UBERON_0012447
Herbst's corpuscle	Herbst's corpuscle	UBERON	0012448	http://purl.obolibrary.org/obo/UBERON_0012448
mechanoreceptor	mechanoreceptor	UBERON	0012449	http://purl.obolibrary.org/obo/UBERON_0012449
Meissner's corpuscle	Meissner's corpuscle	UBERON	0012450	http://purl.obolibrary.org/obo/UBERON_0012450
sensory receptor	sensory receptor	UBERON	0012451	http://purl.obolibrary.org/obo/UBERON_0012451
nerve ending	nerve ending	UBERON	0012453	http://purl.obolibrary.org/obo/UBERON_0012453
Merkel nerve ending	Merkel nerve ending	UBERON	0012456	http://purl.obolibrary.org/obo/UBERON_0012456
Ruffini nerve ending	Ruffini nerve ending	UBERON	0012457	http://purl.obolibrary.org/obo/UBERON_0012457
antler velvet	antler velvet	UBERON	0012458	http://purl.obolibrary.org/obo/UBERON_0012458
antler pedicle	antler pedicle	UBERON	0012459	http://purl.obolibrary.org/obo/UBERON_0012459
proctodeum portion of cloaca	proctodeum portion of cloaca	UBERON	0012462	http://purl.obolibrary.org/obo/UBERON_0012462
cloacal lumen	cloacal lumen	UBERON	0012463	http://purl.obolibrary.org/obo/UBERON_0012463
cloacal vent	cloacal vent	UBERON	0012464	http://purl.obolibrary.org/obo/UBERON_0012464
lumen of terminal part of digestive tract	lumen of terminal part of digestive tract	UBERON	0012465	http://purl.obolibrary.org/obo/UBERON_0012465
extraembryonic cavity	extraembryonic cavity	UBERON	0012466	http://purl.obolibrary.org/obo/UBERON_0012466
enclosed anatomical space	enclosed anatomical space	UBERON	0012467	http://purl.obolibrary.org/obo/UBERON_0012467
anal tooth	anal tooth	UBERON	0012468	http://purl.obolibrary.org/obo/UBERON_0012468
external anal region	external anal region	UBERON	0012469	http://purl.obolibrary.org/obo/UBERON_0012469
wheel papilla	wheel papilla	UBERON	0012470	http://purl.obolibrary.org/obo/UBERON_0012470
hepatogastric ligament	hepatogastric ligament	UBERON	0012471	http://purl.obolibrary.org/obo/UBERON_0012471
hepatoduodenal ligament	hepatoduodenal ligament	UBERON	0012472	http://purl.obolibrary.org/obo/UBERON_0012472
oral cirrus	oral cirrus	UBERON	0012473	http://purl.obolibrary.org/obo/UBERON_0012473
hepatic cecum	hepatic cecum	UBERON	0012474	http://purl.obolibrary.org/obo/UBERON_0012474
skeleton of pectoral complex	skeleton of pectoral complex	UBERON	0012475	http://purl.obolibrary.org/obo/UBERON_0012475
skeleton of pelvic complex	skeleton of pelvic complex	UBERON	0012476	http://purl.obolibrary.org/obo/UBERON_0012476
dorsal part of neck	dorsal part of neck	UBERON	0012477	http://purl.obolibrary.org/obo/UBERON_0012477
cloacal gland	cloacal gland	UBERON	0012478	http://purl.obolibrary.org/obo/UBERON_0012478
urodeal gland	urodeal gland	UBERON	0012479	http://purl.obolibrary.org/obo/UBERON_0012479
cloacal mucosa	cloacal mucosa	UBERON	0012480	http://purl.obolibrary.org/obo/UBERON_0012480
cloacal epithelium	cloacal epithelium	UBERON	0012481	http://purl.obolibrary.org/obo/UBERON_0012481
submucosa of cloaca	submucosa of cloaca	UBERON	0012482	http://purl.obolibrary.org/obo/UBERON_0012482
serosa of cloaca	serosa of cloaca	UBERON	0012483	http://purl.obolibrary.org/obo/UBERON_0012483
cloacal villus	cloacal villus	UBERON	0012485	http://purl.obolibrary.org/obo/UBERON_0012485
muscle layer of cloaca	muscle layer of cloaca	UBERON	0012486	http://purl.obolibrary.org/obo/UBERON_0012486
vaginal sphincter	vaginal sphincter	UBERON	0012487	http://purl.obolibrary.org/obo/UBERON_0012487
muscle layer of duodenum	muscle layer of duodenum	UBERON	0012488	http://purl.obolibrary.org/obo/UBERON_0012488
muscle layer of colon	muscle layer of colon	UBERON	0012489	http://purl.obolibrary.org/obo/UBERON_0012489
muscle layer of anal canal	muscle layer of anal canal	UBERON	0012490	http://purl.obolibrary.org/obo/UBERON_0012490
muscularis mucosae of duodenum	muscularis mucosae of duodenum	UBERON	0012494	http://purl.obolibrary.org/obo/UBERON_0012494
muscularis mucosae of rectum	muscularis mucosae of rectum	UBERON	0012497	http://purl.obolibrary.org/obo/UBERON_0012497
serosa of appendix	serosa of appendix	UBERON	0012498	http://purl.obolibrary.org/obo/UBERON_0012498
serosa of uterine tube	serosa of uterine tube	UBERON	0012499	http://purl.obolibrary.org/obo/UBERON_0012499
serosa of fundus of stomach	serosa of fundus of stomach	UBERON	0012503	http://purl.obolibrary.org/obo/UBERON_0012503
adventitia of esophagus	adventitia of esophagus	UBERON	0012504	http://purl.obolibrary.org/obo/UBERON_0012504
forelimb epitrochlearis muscle	forelimb epitrochlearis muscle	UBERON	0012520	http://purl.obolibrary.org/obo/UBERON_0012520
umbilical smooth muscle	umbilical smooth muscle	UBERON	0012615	http://purl.obolibrary.org/obo/UBERON_0012615
muscle of Aristotle's lantern	muscle of Aristotle's lantern	UBERON	0012621	http://purl.obolibrary.org/obo/UBERON_0012621
body of tubeworm	body of tubeworm	UBERON	0012641	http://purl.obolibrary.org/obo/UBERON_0012641
vestimentum muscle	vestimentum muscle	UBERON	0012642	http://purl.obolibrary.org/obo/UBERON_0012642
plume	plume	UBERON	0012643	http://purl.obolibrary.org/obo/UBERON_0012643
trophosome	trophosome	UBERON	0012644	http://purl.obolibrary.org/obo/UBERON_0012644
opisthosome	opisthosome	UBERON	0012645	http://purl.obolibrary.org/obo/UBERON_0012645
tubeworm tube	tubeworm tube	UBERON	0012646	http://purl.obolibrary.org/obo/UBERON_0012646
ampulla of uterine tube	ampulla of uterine tube	UBERON	0012648	http://purl.obolibrary.org/obo/UBERON_0012648
anococcygeus muscle	anococcygeus muscle	UBERON	0012649	http://purl.obolibrary.org/obo/UBERON_0012649
gastroduodenal junction	gastroduodenal junction	UBERON	0012650	http://purl.obolibrary.org/obo/UBERON_0012650
mucosa of gastroduodenal junction	mucosa of gastroduodenal junction	UBERON	0012651	http://purl.obolibrary.org/obo/UBERON_0012651
colorectum	colorectum	UBERON	0012652	http://purl.obolibrary.org/obo/UBERON_0012652
bronchial bud	bronchial bud	UBERON	0012925	http://purl.obolibrary.org/obo/UBERON_0012925
colorectal mucosa	colorectal mucosa	UBERON	0013067	http://purl.obolibrary.org/obo/UBERON_0013067
palatine torus	palatine torus	UBERON	0013068	http://purl.obolibrary.org/obo/UBERON_0013068
popliteal area	popliteal area	UBERON	0013069	http://purl.obolibrary.org/obo/UBERON_0013069
prepatagium	prepatagium	UBERON	0013070	http://purl.obolibrary.org/obo/UBERON_0013070
rattle	rattle	UBERON	0013073	http://purl.obolibrary.org/obo/UBERON_0013073
cornual diverticulum	cornual diverticulum	UBERON	0013074	http://purl.obolibrary.org/obo/UBERON_0013074
venom gland duct	venom gland duct	UBERON	0013075	http://purl.obolibrary.org/obo/UBERON_0013075
snake venom	snake venom	UBERON	0013076	http://purl.obolibrary.org/obo/UBERON_0013076
venom-injecting tooth	venom-injecting tooth	UBERON	0013078	http://purl.obolibrary.org/obo/UBERON_0013078
elapid venom	elapid venom	UBERON	0013106	http://purl.obolibrary.org/obo/UBERON_0013106
hydrophid venom	hydrophid venom	UBERON	0013110	http://purl.obolibrary.org/obo/UBERON_0013110
viper venom	viper venom	UBERON	0013112	http://purl.obolibrary.org/obo/UBERON_0013112
angular/surangular bone	angular/surangular bone	UBERON	0013113	http://purl.obolibrary.org/obo/UBERON_0013113
compressor glandulae muscle	compressor glandulae muscle	UBERON	0013114	http://purl.obolibrary.org/obo/UBERON_0013114
pterygoideus glandulae muscle	pterygoideus glandulae muscle	UBERON	0013115	http://purl.obolibrary.org/obo/UBERON_0013115
venom gland musculature	venom gland musculature	UBERON	0013116	http://purl.obolibrary.org/obo/UBERON_0013116
sulcus of brain	sulcus of brain	UBERON	0013118	http://purl.obolibrary.org/obo/UBERON_0013118
haemal node	haemal node	UBERON	0013119	http://purl.obolibrary.org/obo/UBERON_0013119
eyelid submuscular connective tissue	eyelid submuscular connective tissue	UBERON	0013120	http://purl.obolibrary.org/obo/UBERON_0013120
proximal epiphysis of phalanx of pes	proximal epiphysis of phalanx of pes	UBERON	0013121	http://purl.obolibrary.org/obo/UBERON_0013121
distal epiphysis of phalanx of pes	distal epiphysis of phalanx of pes	UBERON	0013122	http://purl.obolibrary.org/obo/UBERON_0013122
left posterior cardinal vein	left posterior cardinal vein	UBERON	0013124	http://purl.obolibrary.org/obo/UBERON_0013124
left subcardinal vein	left subcardinal vein	UBERON	0013125	http://purl.obolibrary.org/obo/UBERON_0013125
vein of abdomen	vein of abdomen	UBERON	0013126	http://purl.obolibrary.org/obo/UBERON_0013126
pulmonary venous system	pulmonary venous system	UBERON	0013127	http://purl.obolibrary.org/obo/UBERON_0013127
bulb of penis	bulb of penis	UBERON	0013128	http://purl.obolibrary.org/obo/UBERON_0013128
bulb of vestibule	bulb of vestibule	UBERON	0013129	http://purl.obolibrary.org/obo/UBERON_0013129
lobe of tail	lobe of tail	UBERON	0013131	http://purl.obolibrary.org/obo/UBERON_0013131
penicillar arteriole	penicillar arteriole	UBERON	0013132	http://purl.obolibrary.org/obo/UBERON_0013132
superior phrenic artery	superior phrenic artery	UBERON	0013133	http://purl.obolibrary.org/obo/UBERON_0013133
interdental plate	interdental plate	UBERON	0013135	http://purl.obolibrary.org/obo/UBERON_0013135
vein of lip	vein of lip	UBERON	0013136	http://purl.obolibrary.org/obo/UBERON_0013136
external pudendal artery	external pudendal artery	UBERON	0013137	http://purl.obolibrary.org/obo/UBERON_0013137
coronary ligament of liver	coronary ligament of liver	UBERON	0013138	http://purl.obolibrary.org/obo/UBERON_0013138
ligament of liver	ligament of liver	UBERON	0013139	http://purl.obolibrary.org/obo/UBERON_0013139
systemic vein	systemic vein	UBERON	0013140	http://purl.obolibrary.org/obo/UBERON_0013140
capillary bed	capillary bed	UBERON	0013141	http://purl.obolibrary.org/obo/UBERON_0013141
soleal vein	soleal vein	UBERON	0013142	http://purl.obolibrary.org/obo/UBERON_0013142
gastrocnemius vein	gastrocnemius vein	UBERON	0013143	http://purl.obolibrary.org/obo/UBERON_0013143
vein of genicular venous plexus	vein of genicular venous plexus	UBERON	0013144	http://purl.obolibrary.org/obo/UBERON_0013144
accessory saphenous vein	accessory saphenous vein	UBERON	0013145	http://purl.obolibrary.org/obo/UBERON_0013145
venous system of brain	venous system of brain	UBERON	0013146	http://purl.obolibrary.org/obo/UBERON_0013146
early mesencephalic vesicle	early mesencephalic vesicle	UBERON	0013147	http://purl.obolibrary.org/obo/UBERON_0013147
early midbrain vesicle	early midbrain vesicle	UBERON	0013148	http://purl.obolibrary.org/obo/UBERON_0013148
hindbrain vesicle	hindbrain vesicle	UBERON	0013149	http://purl.obolibrary.org/obo/UBERON_0013149
future brain vesicle	future brain vesicle	UBERON	0013150	http://purl.obolibrary.org/obo/UBERON_0013150
choroidal artery	choroidal artery	UBERON	0013151	http://purl.obolibrary.org/obo/UBERON_0013151
interventricular foramen of heart	interventricular foramen of heart	UBERON	0013152	http://purl.obolibrary.org/obo/UBERON_0013152
arachnoid villus	arachnoid villus	UBERON	0013153	http://purl.obolibrary.org/obo/UBERON_0013153
1st arch maxillary endoderm	1st arch maxillary endoderm	UBERON	0013154	http://purl.obolibrary.org/obo/UBERON_0013154
1st arch mandibular ectoderm	1st arch mandibular ectoderm	UBERON	0013155	http://purl.obolibrary.org/obo/UBERON_0013155
1st arch mandibular endoderm	1st arch mandibular endoderm	UBERON	0013156	http://purl.obolibrary.org/obo/UBERON_0013156
1st arch maxillary-mandibular cleft	1st arch maxillary-mandibular cleft	UBERON	0013157	http://purl.obolibrary.org/obo/UBERON_0013157
foregut-midgut junction gland	foregut-midgut junction gland	UBERON	0013158	http://purl.obolibrary.org/obo/UBERON_0013158
epithalamus mantle layer	epithalamus mantle layer	UBERON	0013159	http://purl.obolibrary.org/obo/UBERON_0013159
epithalamus ventricular layer	epithalamus ventricular layer	UBERON	0013160	http://purl.obolibrary.org/obo/UBERON_0013160
left lateral ventricle	left lateral ventricle	UBERON	0013161	http://purl.obolibrary.org/obo/UBERON_0013161
right lateral ventricle	right lateral ventricle	UBERON	0013162	http://purl.obolibrary.org/obo/UBERON_0013162
molariform tooth	molariform tooth	UBERON	0013164	http://purl.obolibrary.org/obo/UBERON_0013164
epiglottic vallecula	epiglottic vallecula	UBERON	0013165	http://purl.obolibrary.org/obo/UBERON_0013165
vallecula of cerebellum	vallecula of cerebellum	UBERON	0013166	http://purl.obolibrary.org/obo/UBERON_0013166
cricopharyngeal ligament	cricopharyngeal ligament	UBERON	0013167	http://purl.obolibrary.org/obo/UBERON_0013167
thyroepiglottic ligament	thyroepiglottic ligament	UBERON	0013168	http://purl.obolibrary.org/obo/UBERON_0013168
vestibular ligament	vestibular ligament	UBERON	0013169	http://purl.obolibrary.org/obo/UBERON_0013169
cricoarytenoid ligament	cricoarytenoid ligament	UBERON	0013170	http://purl.obolibrary.org/obo/UBERON_0013170
cricothyroid ligament	cricothyroid ligament	UBERON	0013171	http://purl.obolibrary.org/obo/UBERON_0013171
cricotracheal ligament	cricotracheal ligament	UBERON	0013172	http://purl.obolibrary.org/obo/UBERON_0013172
anterior part of tympanic bone	anterior part of tympanic bone	UBERON	0013173	http://purl.obolibrary.org/obo/UBERON_0013173
sigmoid process of tympanic bone	sigmoid process of tympanic bone	UBERON	0013174	http://purl.obolibrary.org/obo/UBERON_0013174
nasal air sac	nasal air sac	UBERON	0013175	http://purl.obolibrary.org/obo/UBERON_0013175
phonic lip	phonic lip	UBERON	0013176	http://purl.obolibrary.org/obo/UBERON_0013176
dorsal bursa	dorsal bursa	UBERON	0013177	http://purl.obolibrary.org/obo/UBERON_0013177
anterior dorsal bursa	anterior dorsal bursa	UBERON	0013178	http://purl.obolibrary.org/obo/UBERON_0013178
posterior dorsal bursa	posterior dorsal bursa	UBERON	0013179	http://purl.obolibrary.org/obo/UBERON_0013179
bursal cartilage	bursal cartilage	UBERON	0013180	http://purl.obolibrary.org/obo/UBERON_0013180
blowhole ligament	blowhole ligament	UBERON	0013181	http://purl.obolibrary.org/obo/UBERON_0013181
core of melon organ	core of melon organ	UBERON	0013182	http://purl.obolibrary.org/obo/UBERON_0013182
monkey lips dorsal bursa complex	monkey lips dorsal bursa complex	UBERON	0013188	http://purl.obolibrary.org/obo/UBERON_0013188
junk chamber	junk chamber	UBERON	0013189	http://purl.obolibrary.org/obo/UBERON_0013189
entotympanic bone	entotympanic bone	UBERON	0013190	http://purl.obolibrary.org/obo/UBERON_0013190
ovarian cortex	ovarian cortex	UBERON	0013191	http://purl.obolibrary.org/obo/UBERON_0013191
ovarian medulla	ovarian medulla	UBERON	0013192	http://purl.obolibrary.org/obo/UBERON_0013192
parakeratinized epithelium	parakeratinized epithelium	UBERON	0013193	http://purl.obolibrary.org/obo/UBERON_0013193
orthokeratinized epithelium	orthokeratinized epithelium	UBERON	0013194	http://purl.obolibrary.org/obo/UBERON_0013194
parakeratinized epithelium of gingiva	parakeratinized epithelium of gingiva	UBERON	0013195	http://purl.obolibrary.org/obo/UBERON_0013195
strand of wool	strand of wool	UBERON	0013196	http://purl.obolibrary.org/obo/UBERON_0013196
cocoon	cocoon	UBERON	0013198	http://purl.obolibrary.org/obo/UBERON_0013198
stria of neuraxis	stria of neuraxis	UBERON	0013199	http://purl.obolibrary.org/obo/UBERON_0013199
olfactory pathway	olfactory pathway	UBERON	0013201	http://purl.obolibrary.org/obo/UBERON_0013201
hypogastrium	hypogastrium	UBERON	0013203	http://purl.obolibrary.org/obo/UBERON_0013203
epipubic bone	epipubic bone	UBERON	0013204	http://purl.obolibrary.org/obo/UBERON_0013204
nasal tentacle	nasal tentacle	UBERON	0013206	http://purl.obolibrary.org/obo/UBERON_0013206
entepicondylar foramen	entepicondylar foramen	UBERON	0013207	http://purl.obolibrary.org/obo/UBERON_0013207
Grueneberg ganglion	Grueneberg ganglion	UBERON	0013208	http://purl.obolibrary.org/obo/UBERON_0013208
cerumen gland	cerumen gland	UBERON	0013211	http://purl.obolibrary.org/obo/UBERON_0013211
anal sac gland secretion	anal sac gland secretion	UBERON	0013212	http://purl.obolibrary.org/obo/UBERON_0013212
ossicone	ossicone	UBERON	0013213	http://purl.obolibrary.org/obo/UBERON_0013213
udder	udder	UBERON	0013216	http://purl.obolibrary.org/obo/UBERON_0013216
zygomatic plate	zygomatic plate	UBERON	0013217	http://purl.obolibrary.org/obo/UBERON_0013217
rete mirabile	rete mirabile	UBERON	0013218	http://purl.obolibrary.org/obo/UBERON_0013218
parotoid gland	parotoid gland	UBERON	0013219	http://purl.obolibrary.org/obo/UBERON_0013219
foramen of Panizza	foramen of Panizza	UBERON	0013220	http://purl.obolibrary.org/obo/UBERON_0013220
caudofemoralis	caudofemoralis	UBERON	0013221	http://purl.obolibrary.org/obo/UBERON_0013221
otic notch	otic notch	UBERON	0013222	http://purl.obolibrary.org/obo/UBERON_0013222
alveolar gland	alveolar gland	UBERON	0013223	http://purl.obolibrary.org/obo/UBERON_0013223
Ciaccio's gland	Ciaccio's gland	UBERON	0013224	http://purl.obolibrary.org/obo/UBERON_0013224
accessory lacrimal gland	accessory lacrimal gland	UBERON	0013226	http://purl.obolibrary.org/obo/UBERON_0013226
crypt of Henle	crypt of Henle	UBERON	0013227	http://purl.obolibrary.org/obo/UBERON_0013227
sweat gland of eyelid	sweat gland of eyelid	UBERON	0013228	http://purl.obolibrary.org/obo/UBERON_0013228
eyelid gland	eyelid gland	UBERON	0013229	http://purl.obolibrary.org/obo/UBERON_0013229
nictitans gland	nictitans gland	UBERON	0013230	http://purl.obolibrary.org/obo/UBERON_0013230
sebaceous gland of eyelid	sebaceous gland of eyelid	UBERON	0013231	http://purl.obolibrary.org/obo/UBERON_0013231
serous acinus	serous acinus	UBERON	0013232	http://purl.obolibrary.org/obo/UBERON_0013232
supraorbital gland	supraorbital gland	UBERON	0013233	http://purl.obolibrary.org/obo/UBERON_0013233
violet gland	violet gland	UBERON	0013234	http://purl.obolibrary.org/obo/UBERON_0013234
ventrum	ventrum	UBERON	0013235	http://purl.obolibrary.org/obo/UBERON_0013235
ventral trunk	ventral trunk	UBERON	0013236	http://purl.obolibrary.org/obo/UBERON_0013236
genital papilla of vulva	genital papilla of vulva	UBERON	0013237	http://purl.obolibrary.org/obo/UBERON_0013237
future glans	future glans	UBERON	0013238	http://purl.obolibrary.org/obo/UBERON_0013238
future glans penis	future glans penis	UBERON	0013239	http://purl.obolibrary.org/obo/UBERON_0013239
future glans clitoris	future glans clitoris	UBERON	0013240	http://purl.obolibrary.org/obo/UBERON_0013240
embryonic urethral groove	embryonic urethral groove	UBERON	0013241	http://purl.obolibrary.org/obo/UBERON_0013241
vaginal plate	vaginal plate	UBERON	0013244	http://purl.obolibrary.org/obo/UBERON_0013244
sinovaginal bulb	sinovaginal bulb	UBERON	0013245	http://purl.obolibrary.org/obo/UBERON_0013245
male paramesonephric duct	male paramesonephric duct	UBERON	0013247	http://purl.obolibrary.org/obo/UBERON_0013247
paradidymis	paradidymis	UBERON	0013248	http://purl.obolibrary.org/obo/UBERON_0013248
paroophoron	paroophoron	UBERON	0013249	http://purl.obolibrary.org/obo/UBERON_0013249
vesicular appendage of epoophoron	vesicular appendage of epoophoron	UBERON	0013250	http://purl.obolibrary.org/obo/UBERON_0013250
remnnant of ductus deferens	remnnant of ductus deferens	UBERON	0013262	http://purl.obolibrary.org/obo/UBERON_0013262
remnant of processus vaginalis	remnant of processus vaginalis	UBERON	0013277	http://purl.obolibrary.org/obo/UBERON_0013277
canal of Nuck	canal of Nuck	UBERON	0013278	http://purl.obolibrary.org/obo/UBERON_0013278
diaphysis of fibula	diaphysis of fibula	UBERON	0013279	http://purl.obolibrary.org/obo/UBERON_0013279
diaphysis of tibia	diaphysis of tibia	UBERON	0013280	http://purl.obolibrary.org/obo/UBERON_0013280
stratum argenteum of choroid	stratum argenteum of choroid	UBERON	0013397	http://purl.obolibrary.org/obo/UBERON_0013397
choroidal gland	choroidal gland	UBERON	0013398	http://purl.obolibrary.org/obo/UBERON_0013398
blood vessel layer of choroid	blood vessel layer of choroid	UBERON	0013399	http://purl.obolibrary.org/obo/UBERON_0013399
asterion of skull	asterion of skull	UBERON	0013403	http://purl.obolibrary.org/obo/UBERON_0013403
bregma	bregma	UBERON	0013406	http://purl.obolibrary.org/obo/UBERON_0013406
cranial cavity	cranial cavity	UBERON	0013411	http://purl.obolibrary.org/obo/UBERON_0013411
crotaphion	crotaphion	UBERON	0013412	http://purl.obolibrary.org/obo/UBERON_0013412
epicranium	epicranium	UBERON	0013417	http://purl.obolibrary.org/obo/UBERON_0013417
groove for sigmoid sinus	groove for sigmoid sinus	UBERON	0013420	http://purl.obolibrary.org/obo/UBERON_0013420
infratemporal fossa	infratemporal fossa	UBERON	0013422	http://purl.obolibrary.org/obo/UBERON_0013422
