value	description	codesystem	code	iri
medial nucleus of stria terminalis	medial nucleus of stria terminalis	UBERON	0034895	http://purl.obolibrary.org/obo/UBERON_0034895
ansa peduncularis	ansa peduncularis	UBERON	0034896	http://purl.obolibrary.org/obo/UBERON_0034896
alveolar ridge of premaxilla	alveolar ridge of premaxilla	UBERON	0034898	http://purl.obolibrary.org/obo/UBERON_0034898
palatine process of premaxilla	palatine process of premaxilla	UBERON	0034900	http://purl.obolibrary.org/obo/UBERON_0034900
cervical sympathetic nerve trunk	cervical sympathetic nerve trunk	UBERON	0034901	http://purl.obolibrary.org/obo/UBERON_0034901
sacral sympathetic nerve trunk	sacral sympathetic nerve trunk	UBERON	0034902	http://purl.obolibrary.org/obo/UBERON_0034902
left atrium endocardium	left atrium endocardium	UBERON	0034903	http://purl.obolibrary.org/obo/UBERON_0034903
gland lumen	gland lumen	UBERON	0034905	http://purl.obolibrary.org/obo/UBERON_0034905
pineal parenchyma	pineal parenchyma	UBERON	0034907	http://purl.obolibrary.org/obo/UBERON_0034907
scapular muscle	scapular muscle	UBERON	0034908	http://purl.obolibrary.org/obo/UBERON_0034908
intermaxillary suture	intermaxillary suture	UBERON	0034909	http://purl.obolibrary.org/obo/UBERON_0034909
medial pretectal nucleus	medial pretectal nucleus	UBERON	0034910	http://purl.obolibrary.org/obo/UBERON_0034910
anterior pretectal nucleus	anterior pretectal nucleus	UBERON	0034918	http://purl.obolibrary.org/obo/UBERON_0034918
juvenile stage	juvenile stage	UBERON	0034919	http://purl.obolibrary.org/obo/UBERON_0034919
infant stage	infant stage	UBERON	0034920	http://purl.obolibrary.org/obo/UBERON_0034920
multi organ part structure	multi organ part structure	UBERON	0034921	http://purl.obolibrary.org/obo/UBERON_0034921
cell cluster	cell cluster	UBERON	0034922	http://purl.obolibrary.org/obo/UBERON_0034922
disconnected anatomical group	disconnected anatomical group	UBERON	0034923	http://purl.obolibrary.org/obo/UBERON_0034923
aligned anatomical group	aligned anatomical group	UBERON	0034924	http://purl.obolibrary.org/obo/UBERON_0034924
anatomical collection	anatomical collection	UBERON	0034925	http://purl.obolibrary.org/obo/UBERON_0034925
anatomical row	anatomical row	UBERON	0034926	http://purl.obolibrary.org/obo/UBERON_0034926
arcuate artery of foot	arcuate artery of foot	UBERON	0034927	http://purl.obolibrary.org/obo/UBERON_0034927
dorsal surface of penis	dorsal surface of penis	UBERON	0034928	http://purl.obolibrary.org/obo/UBERON_0034928
external soft tissue zone	external soft tissue zone	UBERON	0034929	http://purl.obolibrary.org/obo/UBERON_0034929
auricular feather	auricular feather	UBERON	0034930	http://purl.obolibrary.org/obo/UBERON_0034930
perforant path	perforant path	UBERON	0034931	http://purl.obolibrary.org/obo/UBERON_0034931
epithelium of biliary system	epithelium of biliary system	UBERON	0034932	http://purl.obolibrary.org/obo/UBERON_0034932
layer of smooth muscle tissue	layer of smooth muscle tissue	UBERON	0034933	http://purl.obolibrary.org/obo/UBERON_0034933
Weber's gland	Weber's gland	UBERON	0034934	http://purl.obolibrary.org/obo/UBERON_0034934
pars plicata of ciliary body	pars plicata of ciliary body	UBERON	0034935	http://purl.obolibrary.org/obo/UBERON_0034935
pars plana of ciliary body	pars plana of ciliary body	UBERON	0034936	http://purl.obolibrary.org/obo/UBERON_0034936
pharyngeal bar	pharyngeal bar	UBERON	0034937	http://purl.obolibrary.org/obo/UBERON_0034937
mucocartilage tissue	mucocartilage tissue	UBERON	0034938	http://purl.obolibrary.org/obo/UBERON_0034938
future piston	future piston	UBERON	0034939	http://purl.obolibrary.org/obo/UBERON_0034939
venous sinus cavity	venous sinus cavity	UBERON	0034940	http://purl.obolibrary.org/obo/UBERON_0034940
blood sinus of vibrissa	blood sinus of vibrissa	UBERON	0034941	http://purl.obolibrary.org/obo/UBERON_0034941
vibrissal follicle-sinus complex	vibrissal follicle-sinus complex	UBERON	0034942	http://purl.obolibrary.org/obo/UBERON_0034942
saccus vasculosus	saccus vasculosus	UBERON	0034943	http://purl.obolibrary.org/obo/UBERON_0034943
zone of organ	zone of organ	UBERON	0034944	http://purl.obolibrary.org/obo/UBERON_0034944
excreted gas	excreted gas	UBERON	0034945	http://purl.obolibrary.org/obo/UBERON_0034945
gas excreted from digestive tract	gas excreted from digestive tract	UBERON	0034946	http://purl.obolibrary.org/obo/UBERON_0034946
gas in respiratory system	gas in respiratory system	UBERON	0034947	http://purl.obolibrary.org/obo/UBERON_0034947
carbon dioxide in respiratory system	carbon dioxide in respiratory system	UBERON	0034948	http://purl.obolibrary.org/obo/UBERON_0034948
