value_en	description_en	codesystem	code	description_code	iri
cerebellar nuclear complex	cerebellar nuclear complex	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002130
epiphysis of first metatarsal bone	epiphysis of first metatarsal bone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004395
dorsal supraoptic decussation	dorsal supraoptic decussation	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002697
ophthalmotemporal branch of external ophthalmic artery	ophthalmotemporal branch of external ophthalmic artery	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0015158
oral part of ventral posterolateral nucleus	oral part of ventral posterolateral nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003019
epithelium of submandibular gland	epithelium of submandibular gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003359
thymoid	thymoid	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009116
diaphysis of femur	diaphysis of femur	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0006862
anal erector	anal erector	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2000617
layer of muscle tissue	layer of muscle tissue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0018260
carbon dioxide in respiratory system	carbon dioxide in respiratory system	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0034948
posterior neural keel	posterior neural keel	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2007023
thoracic segment blood vessel	thoracic segment blood vessel	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003834
paraterminal gyrus	paraterminal gyrus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002603
Ongur, Price, and Ferry (2003) area 24	Ongur, Price, and Ferry (2003) area 24	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0028422
dorsal fin distal radial element 2	dorsal fin distal radial element 2	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105373
Ongur, Price, and Ferry (2003) area 25	Ongur, Price, and Ferry (2003) area 25	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0028423
dorsal fin distal radial element 3	dorsal fin distal radial element 3	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105374
periamygdaloid area	periamygdaloid area	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002656
immaterial anatomical entity	immaterial anatomical entity	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000466
lingual tonsil	lingual tonsil	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0007250
dorsal fin distal radial element 1	dorsal fin distal radial element 1	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105372
lobar bronchus of left lung lower lobe	lobar bronchus of left lung lower lobe	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0012066
gracile fasciculus	gracile fasciculus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005821
abdominal external oblique muscle	abdominal external oblique muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005442
lateral septal complex	lateral septal complex	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0007628
lateral ethmoid wing	lateral ethmoid wing	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001616
